county,year,单产,NDVI_m4,NDVI_m5,NDVI_m6,NDVI_m7,NDVI_m8,NDVI_m9,NDVI_m10,NDVI_mean,NDVI_max,NDVI_min,NDVI_std,NDVI_peak_month,EVI_m4,EVI_m5,EVI_m6,EVI_m7,EVI_m8,EVI_m9,EVI_m10,EVI_mean,EVI_max,EVI_min,EVI_std,EVI_peak_month,LST_m4,LST_m5,LST_m6,LST_m7,LST_m8,LST_m9,LST_m10,LST_mean,LST_max,LST_min,LST_std,LST_peak_month,GPP_m4,GPP_m5,GPP_m6,GPP_m7,GPP_m8,GPP_m9,GPP_m10,GPP_mean,GPP_max,GPP_min,GPP_std,GPP_peak_month,气温_m4,气温_m5,气温_m6,气温_m7,气温_m8,气温_m9,气温_m10,气温_mean,气温_max,气温_min,气温_std,气温_peak_month,降水_m4,降水_m5,降水_m6,降水_m7,降水_m8,降水_m9,降水_m10,降水_mean,降水_max,降水_min,降水_std,降水_peak_month,辐射_m4,辐射_m5,辐射_m6,辐射_m7,辐射_m8,辐射_m9,辐射_m10,辐射_mean,辐射_max,辐射_min,辐射_std,辐射_peak_month,DEM_Mean_m4,DEM_Mean_m5,DEM_Mean_m6,DEM_Mean_m7,DEM_Mean_m8,DEM_Mean_m9,DEM_Mean_m10,DEM_Mean_mean,DEM_Mean_max,DEM_Mean_min,DEM_Mean_std,DEM_Mean_peak_month,DEM_Std_m4,DEM_Std_m5,DEM_Std_m6,DEM_Std_m7,DEM_Std_m8,DEM_Std_m9,DEM_Std_m10,DEM_Std_mean,DEM_Std_max,DEM_Std_min,DEM_Std_std,DEM_Std_peak_month,GPP_sum,降水_sum,辐射_sum,气温_sum,Growing_Degree_Days,rice_sown_area,multiple_cropping_index,early_rice_share,middle_rice_share,late_rice_share,high_temp_days,max_consecutive_precip_days,drought_days,heading_grain_filling_heat_days,glorice_rice_harvested_area,glorice_rice_physical_area,glorice_multiple_cropping_index,glorice_grid_cell_count,tmax_mean_apr_oct,tmax_max_apr_oct,precip_sum_apr_oct,soil_type,soil_organic_matter,slope_mean,irrigation_condition,effective_irrigated_area,sand_0_30cm_pct,silt_0_30cm_pct,clay_0_30cm_pct,yield_lag1,rice_sown_area_lag1,yield_lag2,rice_sown_area_lag2,yield_lag3,rice_sown_area_lag3,yield_rolling2_mean_prior,yield_rolling3_mean_prior,yield_rolling3_std_prior,yield_county_expanding_mean_prior,yield_county_expanding_std_prior,rice_sown_area_rolling3_mean_prior,rice_sown_area_yoy_change,rice_sown_area_yoy_rate,yield_lag1_minus_prior3_mean,year_since_2012,city,county_train_yield_mean,county_train_yield_median,county_train_yield_std,county_train_yield_count,city_train_yield_mean,city_train_yield_median,city_train_yield_std,city_train_yield_count,train_year_yield_mean,train_year_yield_std,county_vs_city_train_yield_mean,county_train_yield_cv,city_train_yield_cv,county_train_baseline_minus_lag1
临湘市,2012,5.955323383084577,0.4946363866329193,0.5877147912979126,0.6685265302658081,0.7157024145126343,0.7059135437011719,0.6473215818405151,0.5237542390823364,0.6205099267618996,0.7157024145126343,0.4946363866329193,0.0807652494965133,7.0,0.2649117112159729,0.3644012212753296,0.4380351901054382,0.4914746582508087,0.4649067521095276,0.3976580202579498,0.2936228513717651,0.3878586292266845,0.4914746582508087,0.2649117112159729,0.079131884941489,7.0,25.29790496826172,28.73604393005371,28.976940155029297,31.068958282470703,29.740083694458008,25.918418884277344,21.82098960876465,27.36561993190221,31.068958282470703,21.82098960876465,2.950544002093167,7,0.1506553292274475,0.1604770272970199,0.1658542305231094,0.1659877002239227,0.166460707783699,0.1621317714452743,0.147648423910141,0.1598878843443734,0.166460707783699,0.147648423910141,0.0071357613759542,8,18.00653839111328,21.956642150878903,25.71713829040528,29.192089080810547,26.97905731201172,22.578685760498047,18.47072982788086,23.271554401942662,29.192089080810547,18.00653839111328,3.923492624742399,7,2694.18115234375,3807.371826171875,1992.660888671875,2331.761474609375,2042.459716796875,906.3682250976562,1158.6400146484375,2133.349042619978,3807.371826171875,906.3682250976562,897.6036406775288,5,8825.8037109375,8427.9453125,10066.97265625,12062.0859375,10241.478515625,9134.5703125,7117.337890625,9410.88490513393,12062.0859375,7117.337890625,1453.783325642197,7,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.1192151904106138,14933.443298339844,65876.1943359375,162.90088081359863,92.90088081359865,50250.0,1.674135684967041,0.4026768505208183,0.1946462989583632,0.4026768505208183,3.0,15.0,35.0,3.0,12233.845504760742,7236.217796325684,1.674135684967041,9.0,26.888702392578125,35.796226501464844,1827.0078125,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,,,,,,,,,,,,,,,,0,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.086036913002932,0.4502613723398215,-0.42582359816494897,1.119067011303482,0.05615277913363857,0.0
临湘市,2013,5.834462151394423,0.523553729057312,0.5840522646903992,0.6412046551704407,0.668420135974884,0.6507973074913025,0.6135838627815247,0.5337536931037903,0.6021950926099505,0.668420135974884,0.523553729057312,0.0529112911929563,7.0,0.3028771877288818,0.3746691346168518,0.4488804936408996,0.464638203382492,0.4238865673542022,0.3884972929954529,0.2950556874275207,0.3855006524494716,0.464638203382492,0.2950556874275207,0.0619751850727103,7.0,25.95887756347656,29.203493118286133,29.442602157592773,32.18775177001953,33.53292465209961,27.708873748779297,26.481632232666016,29.21659360613142,33.53292465209961,25.95887756347656,2.615221725604482,8,0.1518464088439941,0.1657038629055023,0.1677034795284271,0.1719685494899749,0.1607932895421981,0.1660054624080658,0.1556425988674163,0.162809093083654,0.1719685494899749,0.1518464088439941,0.0065688624642235,7,17.04952621459961,21.927461624145508,25.81018447875977,30.34392547607422,30.73314094543457,23.005699157714844,19.47576904296875,24.04938670567104,30.73314094543457,17.04952621459961,4.824077602961909,8,2266.95703125,2328.460693359375,3914.971923828125,549.7372436523438,1197.6337890625,1375.662841796875,86.87954711914062,1674.3290100097656,3914.971923828125,86.87954711914062,1189.280643910722,6,9379.537109375,9616.26953125,10490.7451171875,13202.861328125,12259.3994140625,7949.13671875,9457.1875,10336.44810267857,13202.861328125,7949.13671875,1683.7273603849246,7,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.1396636515855785,11720.30307006836,72355.13671875,168.3457069396973,98.34570693969728,50200.0,1.678088320626153,0.404083809112702,0.1918323817745961,0.404083809112702,24.0,11.0,80.0,24.0,12279.41520690918,7252.889900207519,1.678088320626153,9.0,28.05577850341797,38.656436920166016,1370.52978515625,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,5.955323383084577,50250.0,,,,,5.955323383084577,5.955323383084577,,5.955323383084577,,50250.0,-50.0,-0.0009950248756218,0.0,1,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.119090381396531,0.7059045473608287,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.13419320556978498
临湘市,2014,5.895629820051414,0.5013472437858582,0.5580838322639465,0.6186891794204712,0.7143107652664185,0.7044662237167358,0.6125141978263855,0.5433338284492493,0.6075350386755807,0.7143107652664185,0.5013472437858582,0.0744397957102855,7.0,0.311211496591568,0.3225020468235016,0.4188682436943054,0.5081025958061218,0.4798540771007538,0.384545236825943,0.3138750195503235,0.3912798166275024,0.5081025958061218,0.311211496591568,0.075054510980517,7.0,23.63123893737793,27.067676544189453,28.41159439086914,31.32459259033203,28.530229568481445,28.37368392944336,26.10136985778809,27.634340831211635,31.32459259033203,23.63123893737793,2.2125376245427755,7,0.1533837020397186,0.1582388281822204,0.1635209619998932,0.166066899895668,0.161243200302124,0.1663497239351272,0.1553128659725189,0.1605880260467529,0.1663497239351272,0.1533837020397186,0.0047433399419335,9,17.66634750366211,21.40332794189453,25.122766494750977,27.126575469970703,25.82432746887207,23.8440170288086,19.576824188232425,22.93774087088449,27.126575469970703,17.66634750366211,3.227386447132343,7,2454.126953125,4078.8642578125,2412.341796875,4819.48583984375,2783.970458984375,1221.70751953125,1727.2030029296875,2785.385689871652,4819.48583984375,1221.70751953125,1172.5665588682675,7,7822.4111328125,9996.048828125,9323.6103515625,9679.169921875,9074.8203125,7482.56884765625,9078.25390625,8922.411900111607,9996.048828125,7482.56884765625,863.2996428115995,5,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.1241161823272705,19497.69982910156,62456.88330078125,160.5641860961914,90.5641860961914,50570.0,1.6815916299819946,0.4053252988594458,0.1893494022811083,0.4053252988594458,0.0,18.0,19.0,0.0,12412.41683959961,7317.230430603027,1.6815916299819946,9.0,26.580717086791992,34.832881927490234,2350.780517578125,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,5.834462151394423,50200.0,5.955323383084577,50250.0,,,5.8948927672395,5.8948927672395,0.0604306158450773,5.8948927672395,0.0604306158450773,50225.0,370.0,0.0073705179282868,-0.0604306158450773,2,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.107212508684318,0.5803804712146549,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.013331973879630254
临湘市,2015,5.923714397957179,0.5074191689491272,0.5844513177871704,0.651162326335907,0.6943773627281189,0.6977013349533081,0.6243650913238525,0.5577445030212402,0.6167458721569606,0.6977013349533081,0.5074191689491272,0.0657912368675797,8.0,0.2945013642311096,0.3844424784183502,0.4372157156467438,0.4724718928337097,0.4770562052726745,0.3855924606323242,0.3171349167823791,0.3954878619738987,0.4770562052726745,0.2945013642311096,0.0664170004271854,8.0,24.566335678100582,26.126123428344727,28.088972091674805,29.394758224487305,30.35639953613281,28.049501419067383,26.375778198242188,27.565409796578543,30.35639953613281,24.566335678100582,1.856487302502388,8,0.1665517091751098,0.1761910766363144,0.1726163327693939,0.1874362081289291,0.188301220536232,0.1770025640726089,0.1668347269296646,0.1764191197497503,0.188301220536232,0.1665517091751098,0.0081647371787847,8,16.883201599121094,22.21543884277344,25.28085327148437,25.85244369506836,26.92352867126465,23.776609420776367,19.02598571777344,22.851151602608816,26.92352867126465,16.883201599121094,3.443511156408594,8,3602.836669921875,3344.521484375,4737.29541015625,1730.95703125,1441.6630859375,1265.841796875,1146.2376708984375,2467.050449916295,4737.29541015625,1146.2376708984375,1309.0170426661418,6,8743.140625,8395.0625,8758.5966796875,9982.375,11174.443359375,8792.44921875,8183.1220703125,9147.027064732143,11174.443359375,8183.1220703125,981.4358591010816,8,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.2349338382482526,17269.353149414062,64029.189453125,159.95806121826172,89.95806121826172,50910.0,1.6802358892228868,0.4048454705591948,0.1903090588816103,0.4048454705591948,0.0,20.0,53.0,0.0,12656.40184020996,7473.516311645508,1.6802358892228868,9.0,26.350414276123047,34.65190505981445,2162.47021484375,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,5.895629820051414,50570.0,5.834462151394423,50200.0,5.955323383084577,50250.0,5.865045985722919,5.895138451510138,0.0493426145348205,5.895138451510138,0.0493426145348205,50340.0,340.0,0.0067233537670555,0.0004913685412759,3,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.416045213660415,1.072020979691334,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.07449964253662156
临湘市,2016,5.821130177514792,0.6053335601514577,0.6601409394466611,0.6818575712302577,0.7271788456836643,0.7484917954938771,0.6818836131258588,0.4111703336015189,0.6451509512476136,0.7484917954938771,0.4111703336015189,0.1046501817405519,8.0,0.37950490378175,0.4580001865989933,0.4807301948716376,0.4760288757533256,0.4686046645134327,0.407909884682316,0.2121806783648147,0.4118513412237528,0.4807301948716376,0.2121806783648147,0.0887564152638453,6.0,24.688366967442818,26.923862618331384,28.77778985686462,30.82291110500148,30.154792907196224,28.224126401507213,21.8105505311736,27.34320005535962,30.82291110500148,21.8105505311736,2.9442854056068017,7,0.1404752486032212,0.1548768017782387,0.1491465447756651,0.1541072570953628,0.1531618121681908,0.1494076310319557,0.1340411354405845,0.1478880615561741,0.1548768017782387,0.1340411354405845,0.0072300302182281,5,18.384014129638672,20.578819274902344,25.042619705200195,28.23900604248047,28.34730529785156,24.513614654541016,18.12373161315918,23.318444388253347,28.34730529785156,18.12373161315918,4.013224034981714,8,3875.445556640625,3153.754150390625,3411.34228515625,6326.78271484375,1628.3095703125,1062.178466796875,1297.01953125,2964.9760393415177,6326.78271484375,1062.178466796875,1713.5999545813895,7,7752.04345703125,8668.576171875,9720.341796875,10354.7763671875,11103.1015625,9375.83984375,4649.6142578125,8803.470493861607,11103.1015625,4649.6142578125,1972.7185573318309,8,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.0352164308932192,20754.832275390625,61624.29345703125,163.22911071777344,93.22911071777344,50700.0,1.6693551275465224,0.4009662872215118,0.1980674255569763,0.4009662872215118,4.0,16.0,49.0,4.0,12636.392364501951,7506.814239501953,1.6693551275465224,9.0,26.682933807373047,36.15103149414063,2593.65966796875,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,5.923714397957179,50910.0,5.895629820051414,50570.0,5.834462151394423,50200.0,5.909672109004296,5.884602123134338,0.0372621206553063,5.902282438121898,0.0444874121631719,50560.0,-210.0,-0.004124926340601,0.0391122748228403,4,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.3064721147441825,0.8712105806935805,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.10258422044238635
临湘市,2017,6.399967590618337,0.5516412854194641,0.603199303150177,0.6671658754348755,0.7119912505149841,0.6653644442558289,0.628476083278656,0.5462898015975952,0.6248754348073687,0.7119912505149841,0.5462898015975952,0.057369439771131,7.0,0.3304210007190704,0.3772666454315185,0.4172202944755554,0.4544174075126648,0.4547869265079498,0.4184536039829254,0.3100985288619995,0.3946663439273834,0.4547869265079498,0.3100985288619995,0.0532395092983616,8.0,25.70294761657715,28.59088516235352,28.992706298828125,31.74274635314941,30.40956687927246,29.38938331604004,23.2281494140625,28.29376929146903,31.74274635314941,23.2281494140625,2.686528954666815,7,0.1792718023061752,0.1820780336856842,0.179749310016632,0.1858253926038742,0.1859810948371887,0.1826148927211761,0.1733256727457046,0.1812637427023478,0.1859810948371887,0.1733256727457046,0.0040501327086746,8,17.520904541015625,22.034629821777344,24.082408905029297,29.379005432128903,27.999813079833984,24.104448318481445,17.188528060913086,23.187105451311385,29.379005432128903,17.188528060913086,4.351712796480726,7,2914.84521484375,2964.76708984375,5068.21337890625,2067.38427734375,3906.7841796875,1460.40234375,657.4854736328125,2719.983136858259,5068.21337890625,657.4854736328125,1377.7257686192577,6,9022.564453125,11382.275390625,7909.884765625,12134.142578125,9867.6201171875,7627.02587890625,5958.5791015625,9128.870326450891,12134.142578125,5958.5791015625,2016.317608012611,7,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.268846198916435,19039.88195800781,63902.09228515625,162.3097381591797,92.30973815917967,46900.0,1.6357537375556097,0.3886610331122636,0.2226779337754729,0.3886610331122636,10.0,19.0,26.0,10.0,12530.190887451172,7582.764373779297,1.6357537375556097,9.0,26.7053337097168,38.09704208374024,2453.2607421875,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,5.821130177514792,50700.0,5.923714397957179,50910.0,5.895629820051414,50570.0,5.8724222877359855,5.880158131841128,0.0432851816291305,5.886051986000477,0.0513518663443086,50726.66666666666,-3800.0,-0.0749506903353057,-0.0590279543263356,5,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.327430007526471,0.764401787671466,-0.42582359816494897,1.119067011303482,0.05615277913363857,0.0
临湘市,2018,6.288230552196695,0.5678712129592896,0.6272742748260498,0.6149893999099731,0.717507541179657,0.6999257206916809,0.6210712194442749,0.5338765382766724,0.6260737010410854,0.717507541179657,0.5338765382766724,0.060770578291028,7.0,0.3411189317703247,0.3609803020954132,0.422925740480423,0.489654541015625,0.4591386020183563,0.3952106237411499,0.3044378757476806,0.3962095166955675,0.489654541015625,0.3044378757476806,0.0610677620601115,7.0,25.38002014160156,28.08598899841309,31.037803649902344,30.798673629760746,29.815147399902344,27.706865310668945,23.20411872863769,28.004088265555247,31.037803649902344,23.20411872863769,2.680979614900873,6,0.1923817843198776,0.1926935911178589,0.1958741098642349,0.1982596516609192,0.2018298357725143,0.1925989985466003,0.1803672611713409,0.1934293189219066,0.2018298357725143,0.1803672611713409,0.0062429755866375,8,18.382606506347656,23.46950912475586,25.83498764038086,29.042694091796875,28.416587829589844,24.35069274902344,17.56755256652832,23.86637578691755,29.042694091796875,17.56755256652832,4.1664150230119965,7,2392.126953125,2721.04248046875,988.7855224609376,1795.02197265625,1683.697265625,2390.948486328125,825.662109375,1828.183541434152,2721.04248046875,825.662109375,672.2614148571455,5,9643.412109375,9203.1484375,11047.046875,11534.833984375,10967.4296875,8646.650390625,8197.5703125,9891.441685267857,11534.833984375,8197.5703125,1204.0339129294584,7,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.3540052324533465,12797.284790039062,69240.091796875,167.06463050842285,97.06463050842284,49620.0,1.5789772934383817,0.36667866969613,0.26664266060774,0.36667866969613,5.0,19.0,26.0,5.0,11920.37272644043,7484.251724243164,1.5789772934383817,9.0,27.52751350402832,35.418922424316406,1634.4417724609375,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,6.399967590618337,46900.0,5.821130177514792,50700.0,5.923714397957179,50910.0,6.1105488840665645,6.048270722030103,0.2521889451740771,5.97170458677012,0.1971784772920781,49503.333333333336,2720.0,0.0579957356076759,0.3516968685882338,6,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,7.221538572532166,0.9389707328235969,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.5788374131035443
临湘市,2019,6.342708120269994,0.5557567477226257,0.5998693704605103,0.6412462592124939,0.7022992372512817,0.6823782920837402,0.5596022009849548,0.5396215915679932,0.6115390998976571,0.7022992372512817,0.5396215915679932,0.0600660729874238,7.0,0.3082649111747741,0.3618014752864837,0.4154096841812134,0.5026842951774597,0.4291477501392364,0.3390410244464874,0.2914022803306579,0.3782502029623304,0.5026842951774597,0.2914022803306579,0.0693888151881976,7.0,27.73444557189941,26.50815773010254,29.42671203613281,30.29327392578125,30.931440353393555,31.629528045654297,24.644325256347656,28.73826898847308,31.629528045654297,24.644325256347656,2.354412474930092,9,0.1825889945030212,0.1895384490489959,0.1993823796510696,0.1998852044343948,0.2010620236396789,0.187666580080986,0.1807672977447509,0.1915558470146996,0.2010620236396789,0.1807672977447509,0.0079011186668046,8,17.87210464477539,21.166149139404297,25.228416442871094,27.669309616088867,30.05129814147949,26.188989639282227,19.48309326171875,23.951337269374303,30.05129814147949,17.87210464477539,4.180745099199178,8,2519.5234375,2493.88623046875,3289.41357421875,2515.439208984375,307.216796875,233.6270446777344,676.8424682617188,1719.4212515694755,3289.41357421875,233.6270446777344,1172.747467620518,6,8235.4443359375,9305.2470703125,9641.60546875,11200.7255859375,12717.7998046875,11056.6865234375,7329.5810546875,9926.727120535714,12717.7998046875,7329.5810546875,1722.2536740413343,8,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.3408909291028974,12035.948760986328,69487.08984375,167.65936088562012,97.65936088562012,48890.0,1.5345471567577786,0.3483419550867243,0.3033160898265513,0.3483419550867243,15.0,17.0,42.0,14.0,11459.759857177734,7402.439804077148,1.5345471567577786,9.0,27.856658935546875,36.864376068115234,1444.1123046875,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,6.288230552196695,49620.0,6.399967590618337,46900.0,5.821130177514792,50700.0,6.344099071407516,6.169776106776609,0.2507146843617748,6.01692258183106,0.2135255517300121,49073.333333333336,-730.0,-0.0147118097541313,0.1184544454200864,7,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.926644802578423,0.848212665604444,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.4671003746819027
临湘市,2020,6.379432624113475,0.6282980299009332,0.5881887063683783,0.4864095937953567,0.7405212276413026,0.7396994427371011,0.5880860243970277,0.6361566869330013,0.6296228159675857,0.7405212276413026,0.4864095937953567,0.0831623931987725,7.0,0.3687025000729653,0.3810811450988022,0.3659246827027689,0.4903993484305134,0.4974686536444861,0.3633274877924081,0.3179692249932043,0.3978390061050212,0.4974686536444861,0.3179692249932043,0.0634845272474494,8.0,25.83323419847453,26.0435245177623,28.85313888308645,29.32204283594262,30.480175251284624,25.96740043435525,21.271643652285405,26.82445139617017,30.480175251284624,21.271643652285405,2.850524296099384,8,0.1473649537656456,0.1503460326210311,0.1513024736373385,0.1500796946633796,0.154678446833652,0.1416845676963714,0.138978473240336,0.1477763774939649,0.154678446833652,0.138978473240336,0.0051639249743836,8,16.569278717041016,22.88862991333008,25.965639114379883,26.7888240814209,28.482295989990234,22.005334854125977,16.463497161865234,22.73764283316476,28.482295989990234,16.463497161865234,4.43695135422472,8,1326.0087890625,2558.838623046875,4326.87548828125,5468.966796875,2072.166015625,2838.97119140625,872.237060546875,2780.58056640625,5468.966796875,872.237060546875,1508.567562371777,7,9945.1904296875,10253.333984375,8299.5625,8480.67578125,12298.2470703125,6584.232421875,5733.57177734375,8799.25913783482,12298.2470703125,5733.57177734375,2081.427503499158,8,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052288,219.88993464052285,219.88993464052288,219.88993464052288,2.8421709430404014e-14,4,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995416,167.57601233995413,167.57601233995416,167.57601233995416,2.8421709430404014e-14,4,1.0344346424577544,19464.06396484375,61594.81396484375,159.16349983215332,89.16349983215332,50055.0,1.5345471567577786,0.3483419550867243,0.3033160898265513,0.3483419550867243,0.0,36.0,37.0,0.0,11812.150314331057,7623.922706604004,1.5345471567577786,9.0,26.075660705566406,34.120933532714844,2255.939453125,clay_loam,35.17174364988869,9.524966421799956,低保障,5054.38665960954,26.829146983765,44.15035429223,27.83147906825216,6.342708120269994,48890.0,6.288230552196695,49620.0,6.399967590618337,46900.0,6.3154693362333445,6.343635421028342,0.0456211672642777,6.057645774135926,0.2269419855974196,48470.0,1165.0,0.0238290038862753,-0.0009273007583479,8,岳阳市,5.821130177514792,5.821130177514792,6.514234750159986,1,6.246953775679741,6.177177653882163,0.35078381562379407,46,6.730935357890686,0.7081627342704553,-0.42582359816494897,1.119067011303482,0.05615277913363857,-0.5215779427552016
